num_blocks,initial_filters,filter_sizes,nhl_activation,ol_activation,cost_function,data_split,learning_rate,weight_decay,betas,epochs,average_test_accuracy,std_test_accuracy,average_f1_score,std_f1_score
1,8,[8],sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,64.1321044546851,0.8334306610679986,0.6339288061271661,0.013106585454637172
1,8,[8],sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,57.50936869414817,0.6497219757615817,0.5651411513844624,0.009568319560364582
1,8,[8],sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,49.473835952140696,0.48693515219992706,0.457883196639117,0.004998818328452627
2,8,"[8, 16]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,71.27496159754224,2.2379112571940762,0.7116846465815958,0.021487484353900795
2,8,"[8, 16]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,64.42778898818104,0.7577653172726925,0.6387074930799125,0.011234283698965437
2,8,"[8, 16]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,52.31848541636634,1.394081918060454,0.506485775630902,0.014969423494983248
2,8,"[8, 16]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,67.51152073732719,1.4708692782031934,0.6671438023187545,0.017624966362547605
2,8,"[8, 16]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,61.900643797444026,0.660084346904801,0.6039410062796491,0.011576273810695639
2,8,"[8, 16]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,47.9217721397338,0.353203122693521,0.440466342378659,0.007900947380892474
3,8,"[8, 16, 32]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,70.81413210445469,0.5683044772253742,0.7011137662222967,0.013208469000149223
3,8,"[8, 16, 32]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,64.88901700778322,0.6516376221076523,0.634328394131102,0.0014713406643669597
3,8,"[8, 16, 32]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,50.631877372543364,1.710060054557034,0.47857072664422273,0.023192665151455023
3,8,"[8, 16, 32]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,64.55453149001536,0.5444488048678101,0.6226368165275032,0.01491784942032193
