problem_file,selection_method,crossover_method,mutation_method,elitism,diversity_injection,final_best_fitness_error,convergence_rate,time_taken
brazil58,tournament,pmx,swap,1,1,51.3670670079412,0.4747777777777778,15.39475162823995
brazil58,tournament,pmx,swap,1,0,38.495766883244734,0.5107777777777778,16.533087491989136
brazil58,tournament,pmx,swap,0,1,44.04016538688719,0.5146666666666667,17.09885509808858
brazil58,tournament,pmx,swap,0,0,46.04580954256088,0.4327777777777777,14.353569269180298
brazil58,tournament,pmx,inversion,1,1,3.5400669423114786,0.3977777777777778,12.948352893193563
brazil58,tournament,pmx,inversion,1,0,4.6255824637395815,0.2926666666666667,9.491830825805664
brazil58,tournament,pmx,inversion,0,1,4.859224256743454,0.3343333333333333,11.150748411814371
brazil58,tournament,pmx,inversion,0,0,4.111045481393974,0.4637777777777778,15.528106848398844
brazil58,tournament,pmx,scramble,1,1,113.96994158955177,0.3584444444444445,11.694877465566
brazil58,tournament,pmx,scramble,1,0,104.5704535013454,0.2655555555555555,8.667523384094238
brazil58,tournament,pmx,scramble,0,1,94.33353022248474,0.4348888888888889,14.54189642270406
brazil58,tournament,pmx,scramble,0,0,113.70085974929448,0.3083333333333333,10.324687242507936
brazil58,tournament,order,swap,1,1,36.553127256021526,0.3317777777777778,11.90332531929016
brazil58,tournament,order,swap,1,0,29.474305965741284,0.3839999999999999,13.74316922823588
brazil58,tournament,order,swap,0,1,29.63575506989565,0.3712222222222222,13.650749762852987
brazil58,tournament,order,swap,0,0,20.28220778368445,0.354,12.986339728037516
brazil58,tournament,order,inversion,1,1,4.538951237120168,0.377,13.551360925038656
brazil58,tournament,order,inversion,1,0,5.067926757235676,0.3223333333333333,11.570954958597818
brazil58,tournament,order,inversion,0,1,4.752904114983264,0.4414444444444445,16.26226552327474
brazil58,tournament,order,inversion,0,0,4.836910152917241,0.3971111111111111,14.612728198369345
brazil58,tournament,order,scramble,1,1,76.36148848198464,0.3184444444444445,11.435124715169271
brazil58,tournament,order,scramble,1,0,50.81446478965676,0.3244444444444445,11.628348032633465
brazil58,tournament,order,scramble,0,1,44.04410316991533,0.3905555555555555,14.385739088058472
brazil58,tournament,order,scramble,0,0,39.41589551749032,0.3194444444444445,11.715977589289349
brazil58,rank,pmx,swap,1,1,47.41747063070159,0.4681111111111111,15.184058030446373
brazil58,rank,pmx,swap,1,0,43.61619741418915,0.3761111111111111,12.197312513987224
brazil58,rank,pmx,swap,0,1,41.68143335302224,0.599,19.94136397043864
brazil58,rank,pmx,swap,0,0,43.10428562052897,0.3645555555555556,12.115740617116291
brazil58,rank,pmx,inversion,1,1,4.223928594867756,0.359,11.75975505510966
brazil58,rank,pmx,inversion,1,0,3.8091487825687462,0.37,12.028311729431152
brazil58,rank,pmx,inversion,0,1,7.28096081905887,0.3371111111111111,11.218222459157309
brazil58,rank,pmx,inversion,0,0,3.0478440637920854,0.3146666666666667,10.475731452306112
brazil58,rank,pmx,scramble,1,1,94.90057097853908,0.4803333333333333,15.702941179275513
